day,plant,material,inventory_t,external_source_t,shipment_t
4,延炼,烷基化C4,0.0,0.0,0.0
4,延炼,烷基化油,0.0,0.0,0.0
4,延炼,焦油,0.0,0.0,0.0
4,延炼,焦炭,0.0,0.0,156.612903
4,延炼,燃料气,0.0,0.0,0.0
4,延炼,瓦斯气,0.0,0.0,0.0
4,延炼,甲苯,0.0,0.0,4.290323
4,延炼,甲醇原料,839.5,12.248392,0.0
4,延炼,石油苯,1551.0,0.0,0.0
4,延炼,石脑油,0.0,0.0,21.580645
4,延炼,石脑油Ⅲ,0.0,0.0,0.0
4,延炼,粗汽油,0.0,0.0,0.0
4,延炼,粗硫磺,0.0,0.0,0.0
4,延炼,粗酯,0.0,0.0,0.0
4,延炼,精制柴油,0.0,0.0,0.0
4,延炼,精制汽油,0.0,0.0,0.0
4,延炼,精制油,0.0,0.0,0.0
4,延炼,精制液化气,0.0,0.0,0.0
4,延炼,精制硫磺,0.0,0.0,0.0
4,延炼,聚丙烯,0.0,0.0,276.772521
4,延炼,脱氢尾气,0.0,0.0,0.0
4,延炼,脱氢液,1409.019677,0.0,0.0
4,延炼,航煤原料,10363.167381,0.0,0.0
4,延炼,航煤组分油,0.0,0.0,960.16129
4,延炼,苯,0.0,0.0,0.0
4,延炼,苯乙烯,5488.2,0.0,150.83871
4,延炼,轻污油,0.0,0.0,0.0
4,延炼,轻烃,0.0,0.0,0.0
4,延炼,酯后碳四,0.0,0.0,111.8281
4,延炼,酸性气,0.0,0.0,0.0
4,延炼,酸性水,0.0,0.0,0.0
4,延炼,醋酸仲丁酯,824.0,0.0,77.049243
4,延炼,醋酸原料,583.0,42.845494,0.0
4,延炼,醚后C4,0.0,0.0,0.0
4,延炼,重整汽油,0.0,0.0,0.0
4,延炼,重整轻汽油,0.0,0.0,0.0
4,延炼,非芳烃,0.0,0.0,0.0
4,延炼,饱和液化气,0.0,0.0,0.0
4,延炼,高沸物,0.0,0.0,0.0
4,延石化,0#柴油,0.0,0.0,0.0
4,延石化,1#渣油,0.0,0.0,0.0
4,延石化,2#渣油,0.0,0.0,0.0
4,延石化,3#喷气燃料,0.0,0.0,0.0
4,延石化,92#汽油,0.0,0.0,0.0
4,延石化,95#汽油,0.0,0.0,0.0
4,延石化,C12,0.0,0.0,0.0
4,延石化,C4,1100.0,683.860553,0.0
4,延石化,C6馏分,0.0,0.0,0.0
4,延石化,MTBE,3500.0,0.0,940.580645
4,延石化,OG气,0.0,0.0,0.0
