day,material,inventory_t,shipment_t_per_d,external_source_t_per_d
3,石油苯,1551.0,0.0,87.921206
3,石脑油,0.0,29.743053,0.0
3,石脑油Ⅲ,0.0,54.733877,0.0
3,粗酯,0.0,2.523757,0.0
3,精制液化气,0.0,0.0,0.0
3,聚丙烯,0.0,184.339469,0.0
3,脱氢尾气,0.0,2.356624,0.0
3,脱氢液,1327.82588,0.0,0.0
3,航煤原料,8143.2,176.708,0.0
3,航煤组分油,0.0,1323.321347,0.0
3,苯,0.0,0.0,0.0
3,苯乙烯,5488.2,143.435433,0.0
3,酯后碳四,0.0,97.633708,0.0
3,酸性气,0.0,92.261782,0.0
3,酸性水,0.0,0.0,0.0
3,醋酸仲丁酯,824.0,67.269348,0.0
3,醋酸原料,583.0,0.0,37.407095
3,醚后C4,0.0,0.0,0.0
3,高沸物,0.0,1.213283,0.0
4,0#柴油,50277.65,0.0,0.0
4,1#渣油,28603.573,0.0,0.0
4,2#渣油,0.0,0.0,0.0
4,3#喷气燃料,24084.0,0.0,0.0
4,92#汽油,33437.75,0.0,0.0
4,95#汽油,24974.125,0.0,0.0
4,C12,0.0,0.237841,0.0
4,C4,0.0,270.035999,0.0
4,MTBE,6232.5381,32.74371,0.0
4,OG气,0.0,5.820608,0.0
4,RCO,17558.8875,0.0,0.0
4,YCO,21460.8625,0.0,16210.0
4,不合格丙烯,0.0,0.0,0.0
4,不合格液化气,0.0,0.0,0.0
4,丙烯,925.695587,0.0,0.0
4,丙烷,764.33121,67.822011,0.0
4,丙苯,0.0,4.706703,0.0
4,乙苯,3761.193894,0.0,0.0
4,催化柴油,19246.743,1169.782394,0.0
4,催化汽油,7031.68025,2277.270548,0.0
4,净化干气,0.0,221.382705,0.0
4,常压直馏柴油,7122.2,8425.958,0.0
4,常压石脑油,7902.0,1847.94,0.0
4,干气,0.0,0.0,324.23065
4,戊烷,0.0,43.076142,0.0
4,次品MTBE,0.0,0.0,0.0
4,次品SBA,0.0,0.0,0.0
4,污油,0.0,0.0,0.0
4,油浆,0.0,28.062597,0.0
4,液化气,0.0,0.0,0.0
4,烃化尾气,0.0,120.303321,0.0
4,烃化液,1325.26,0.0,0.0
4,焦油,0.0,1.625765,0.0
4,焦炭,0.0,329.742076,0.0
4,燃料气,0.0,0.026186,0.0
4,瓦斯气,0.0,23.887152,0.0
4,甲苯,0.0,4.07975,0.0
4,甲醇原料,839.5,0.0,12.248392
4,石油苯,1551.0,0.0,87.921206
4,石脑油,0.0,29.743053,0.0
4,石脑油Ⅲ,0.0,54.733877,0.0
4,粗酯,0.0,2.523757,0.0
4,精制液化气,0.0,0.0,0.0
4,聚丙烯,0.0,184.339469,0.0
4,脱氢尾气,0.0,2.356624,0.0
4,脱氢液,1302.99784,0.0,0.0
4,航煤原料,8143.2,176.708,0.0
4,航煤组分油,0.0,1323.321347,0.0
4,苯,0.0,0.0,0.0
4,苯乙烯,5488.2,143.435433,0.0
4,酯后碳四,0.0,97.633708,0.0
4,酸性气,0.0,92.261782,0.0
4,酸性水,0.0,0.0,0.0
4,醋酸仲丁酯,824.0,67.269348,0.0
4,醋酸原料,583.0,0.0,37.407095
4,醚后C4,0.0,0.0,0.0
4,高沸物,0.0,1.213283,0.0
5,0#柴油,50277.65,0.0,0.0
5,1#渣油,29893.722,0.0,0.0
5,2#渣油,0.0,29.462648,0.0
5,3#喷气燃料,24084.0,0.0,0.0
5,92#汽油,33437.75,0.0,0.0
5,95#汽油,24974.125,0.0,0.0
5,C12,0.0,0.237841,0.0
5,C4,0.0,169.824487,0.0
5,MTBE,6232.5381,32.74371,0.0
5,OG气,0.0,5.820082,0.0
5,RCO,17558.8875,0.0,0.0
5,YCO,21460.8625,0.0,16210.0
5,不合格丙烯,0.0,0.0,0.0
5,不合格液化气,0.0,0.0,0.0
5,丙烯,897.385168,0.0,0.0
5,丙烷,764.33121,52.044987,0.0
5,丙苯,0.0,4.706703,0.0
5,乙苯,3742.504868,0.0,0.0
5,催化柴油,19246.743,443.841545,0.0
5,催化汽油,7031.68025,1235.34234,0.0
5,净化干气,0.0,221.382705,0.0
5,常压直馏柴油,7122.2,8425.958,0.0
5,常压石脑油,7902.0,1847.94,0.0
5,干气,0.0,0.0,394.229979
5,戊烷,0.0,33.0556,0.0
5,次品MTBE,0.0,0.0,0.0
5,次品SBA,0.0,0.0,0.0
5,污油,0.0,0.0,0.0
5,油浆,0.0,0.0,0.0
5,液化气,0.0,0.0,0.0
5,烃化尾气,0.0,120.303321,0.0
5,烃化液,1325.26,0.0,0.0
5,焦油,0.0,1.625765,0.0
5,焦炭,0.0,151.366304,0.0
5,燃料气,0.0,0.020095,0.0
5,瓦斯气,0.0,23.887152,0.0
5,甲苯,0.0,4.07975,0.0
5,甲醇原料,839.5,0.0,12.248392
5,石油苯,1551.0,0.0,87.921206
5,石脑油,0.0,29.743053,0.0
5,石脑油Ⅲ,0.0,0.0,0.0
5,粗酯,0.0,2.523757,0.0
5,精制液化气,0.0,0.0,0.0
5,聚丙烯,0.0,184.322811,0.0
5,脱氢尾气,0.0,2.356624,0.0
5,脱氢液,1278.1698,0.0,0.0
5,航煤原料,8143.2,176.708,0.0
